id,artist_name,real_name,gender,debut_year,nationality,birth_date,height,position,image_path,is_published,release_date
40,Sunhye,Jeong Sun-hye,Female,2023,South Korean,2004-04-12,159,"Leader, Rapper, Vocalist, Dancer",/images/idols/sunhye.webp,1,2025-12-26
41,Yeonjung,Wi Yeon-jung,Female,2023,South Korean,2004-09-1,162,"Main Dancer, Rapper",/images/idols/yeonjung.webp,1,2025-12-26
42,Jiana,Noh Ji-hyun,Female,2023,South Korean,2006-02-02,163,"Main Vocalist, Rapper, Dancer",/images/idols/jiana.webp,1,2025-12-26
43,Doeun,Kim Do-eun,Female,2023,South Korean,2007-12-24,168,"Vocalist, Rapper, Dancer",/images/idols/doeun.webp,1,2025-12-26
44,Jieun,Han Ji-eun,Female,2023,South Korean,2009-11-05,158,"Vocalist, Dancer, Rapper, Maknae",/images/idols/jieun.webp,1,2025-12-26
45,Yeji,Hwang Ye-ji,Female,2019,South Korean,2000-05-26,167,"Leader, Main Dancer, Lead Vocalist, Sub-Rapper",/images/idols/yeji.webp,1,2025-12-26
46,Lia,Choi Ji-su,Female,2019,South Korean,2000-07-21,162,"Main Vocalist, Sub-Rapper",/images/idols/lia.webp,1,2025-12-26
47,Ryujin,Shin Ryu-jin,Female,2019,South Korean,2001-04-17,164,"Main Rapper, Lead Dancer, Sub-Vocalist, Center",/images/idols/ryujin.webp,1,2025-12-26
48,Chaeryeong,Lee Chae-ryeong,Female,2019,South Korean,2001-06-05,167,"Main Dancer, Sub-Vocalist, Sub-Rapper",/images/idols/chaeryeong.webp,1,2025-12-26
49,Yuna,Shin Yu-na,Female,2019,South Korean,2003-12-09,170,"Lead Rapper, Lead Dancer, Sub-Vocalist, Visual, Maknae",/images/idols/yuna.webp,1,2025-12-26
50,Sumin,Bae Su-min,Female,2020,South Korean,2001-03-13,159,"Vocalist, Rapper, Dancer",/images/idols/sumin.webp,1,2025-12-26
51,Sieun,Park Si-eun,Female,2020,South Korean,2001-08-01,159,"Main Vocalist, Dancer",/images/idols/sieun.webp,1,2025-12-26
52,Isa,Lee Chae-young,Female,2020,South Korean,2002-01-23,166,"Lead Vocalist, Dancer",/images/idols/isa.webp,1,2025-12-26
53,Seeun,Yoon Se-eun,Female,2020,South Korean,2003-06-14,167,"Vocalist, Dancer",/images/idols/seeun.webp,1,2025-12-26
54,Yoon,Shim Ja-yoon,Female,2020,South Korean,2004-04-14,173,"Lead Vocalist",/images/idols/yoon.webp,1,2025-12-26
55,J,Jang Ye-eun,Female,2020,South Korean,2004-12-09,170,"Vocalist, Rapper, Maknae",/images/idols/j.webp,1,2025-12-26
56,Soyeon,Jeon So-yeon,Female,2018,South Korean,1998-08-26,157,"Leader, Main Rapper, Sub-Vocalist, Center",/images/idols/soyeon.webp,1,2025-12-26
57,Miyeon,Cho Mi-yeon,Female,2018,South Korean,1997-01-31,161,"Main Vocalist, Visual",/images/idols/miyeon.webp,1,2025-12-26
58,Minnie,Nicha Yontararak,Female,2018,Thai,1997-10-23,167,"Main Vocalist",/images/idols/minnie.webp,1,2025-12-26
59,Yuqi,Song Yu Qi,Female,2018,Chinese,1999-09-23,163,"Main Dancer, Sub-Vocalist, Sub-Rapper, FOTG",/images/idols/yuqi.webp,1,2025-12-26
60,Shuhua,Yeh  Shuhua,Female,2018,Taiwanese,2000-01-06,161,"Sub-Vocalist, Visual, Maknae",/images/idols/shuhua.webp,1,2025-12-26
61,Soojin,Seo Soojin,Female,2018,South Korean,1998-03-09,164,"Main Dancer, Sub-Vocalist, Sub-Rapper",/images/idols/soojin.webp,1,2025-12-26
62,Haewon,Oh Hae-won,Female,2022,South Korean,2003-02-25,163,"Leader, Main Vocalist",/images/idols/haewon.webp,1,2025-12-26
63,Lily,Lily Jin Park Morrow,Female,2022,"South Korean, Australian",2002-10-17,164,"Main Vocalist, Dancer",/images/idols/lily.webp,1,2025-12-26
64,Sullyoon,Seol Yoon-a,Female,2022,South Korean,2004-01-26,168,"Lead Vocalist, Dancer",/images/idols/sullyoon.webp,1,2025-12-26
65,Bae,Bae Jin-sol,Female,2022,South Korean,2004-12-28,170,"Lead Vocalist, Dancer",/images/idols/bae.webp,1,2025-12-26
66,Jiwoo,Kim Ji-woo,Female,2022,South Korean,2005-04-13,161,"Main Rapper, Vocalist, Dancer",/images/idols/jiwoo.webp,1,2025-12-26
67,Kyujin,Jang Kyu-jin,Female,2022,South Korean,2006-05-26,164,"Dance Leader, Main Dancer, Rapper, Vocalist, Maknae",/images/idols/kyujin.webp,1,2025-12-26
68,Minji,Kim Min-ji,Female,2022,South Korean,2004-05-07,169,"Rapper",/images/idols/minji.webp,1,2025-12-26
69,Hanni,Hanni Phạm,Female,2022,"Vietnamese, Australian",2004-10-06,162,"Vocalist",/images/idols/hanni.webp,1,2025-12-26
70,Danielle,Danielle June Marsh / Mo Ji Hye,Female,2022,"Australian, South Korean",2005-04-11,165,"Dancer",/images/idols/danielle.webp,1,2025-12-26
71,Haerin,Kang Hae-rin,Female,2022,South Korean,2006-05-15,165,"Dancer",/images/idols/haerin.webp,1,2025-12-26
72,Hyein,Lee Hye-in,Female,2022,South Korean,2008-04-21,170,"Dancer, Maknae",/images/idols/hyein.webp,1,2025-12-26
73,Yunah,Noh Yun-ah,Female,2024,South Korean,2004-01-15,168,"Dancer",/images/idols/yunah.webp,1,2025-12-26
74,Minju,Park Min-ju,Female,2024,South Korean,2004-05-11,163,"Main Vocalist",/images/idols/minju.webp,1,2025-12-26
75,Moka,Sakai Moka,Female,2024,Japanese,2004-10-08,162,"Lead Dancer, Sub-Vocalist, Visual",/images/idols/moka.webp,1,2025-12-26
76,Wonhee,Lee Won-hee,Female,2024,South Korean,2007-06-26,162,"Lead Vocalist, Center",/images/idols/wonhee.webp,1,2025-12-26
77,Iroha,Hokazono Iroha,Female,2024,Japanese,2008-02-04,158,"Main Dancer, Sub-Vocalist, Maknae",/images/idols/iroha.webp,1,2025-12-26
78,Kwon Eunbi,Kwon Eun-bi,Female,2018,South Korean,1995-09-27,158,"Leader, Main Dancer, Lead Vocalist",/images/idols/eunbi.webp,1,2025-12-26
79,Sooin,Kim Soo-in,Female,2024,South Korean,2005-04-12,172,"Main Dancer, Vocalist",/images/idols/sooin.webp,1,2025-12-26
80,Gawon,Lee Ga-won,Female,2024,"South Korean, American",2005-04-27,173,"Main Vocalist, Rapper",/images/idols/gawon.webp,1,2025-12-26
81,Anna,Tanaka Anna,Female,2024,Japanese,2005-11-17,164,"Sub-Vocalist, Visual",/images/idols/anna.webp,1,2025-12-26
82,Narin,Na Rin,Female,2024,South Korean,2007-08-15,166,"Main Rapper, Main Vocalist",/images/idols/narin.webp,1,2025-12-26
83,Ella,Ella McKenzie Gross,Female,2024,"German, American, South Korean",2008-12-01,168,"Vocalist, Visual, Maknae",/images/idols/ella.webp,1,2025-12-26
84,HaSeul,Cho Ha-Seul,Female,2016,South Korean,1997-08-18,158,"Leader, Vocalist, Rapper",/images/idols/haseul.webp,1,2025-12-26
85,ViVi,Wong Kahei,Female,2017,Hong Kongese,1996-12-09,158,"Vocalist, Rapper",/images/idols/vivi.webp,1,2025-12-26
86,Yves,Ha Soo-young,Female,2017,South Korean,1997-05-24,166,"Vocalist, Rapper, Dancer",/images/idols/yves.webp,1,2025-12-26
87,JinSoul,Jeong Jin-Sol,Female,2017,South Korean,1997-06-13,165,"Vocalist, Rapper",/images/idols/jinsoul.webp,1,2025-12-26
88,Kim Lip,Kim Jung-eun,Female,2017,South Korean,1999-02-10,163,"Vocalist, Dancer",/images/idols/kimlip.webp,1,2025-12-26
89,HeeJin,Jeon Hee-jin,Female,2016,South Korean,2000-10-19,161,"Vocalist, Rapper, Dancer, Center",/images/idols/heejin.webp,1,2025-12-26
